Название ;Науки
Веснік сувязі;"технические (информатика, вычислительная техника и управление; связь)"
Веснік сувязі;экономические (связь)
Вести Института современных знаний;"искусствоведение;"
Вести Института современных знаний;"культурология;"
Вести Института современных знаний;технические (информатика, вычислительная техника и управление)
Вести Института предпринимательской деятельности;экономические
Вестник Академии МВД Республики Беларусь;"исторические;"
Вестник Академии МВД Республики Беларусь;"юридические;"
Вестник Академии МВД Республики Беларусь;психологические (юридическая психология)
Вестник БарГУ. Серия: «Биологические науки (Общая биология). Сельскохозяйственные науки (Агрономия)»;"биологические (общая биология); сельскохозяйственные (агрономия)"
Вестник БарГУ. Серия: «Исторические науки и археология. Экономические науки. Юридические науки»;"исторические (отечественная история; всеобщая история; историография, источниковедение и методы исторического исследования); экономические (экономика и управление народным хозяйством);"
Вестник БарГУ. Серия: «Исторические науки и археология. Экономические науки. Юридические науки»;"юридические (теория и история права и государства; история учений о праве и государстве; конституционное право, конституционный процесс, муниципальное право; гражданское право, предпринимательское право, семейное право, международное частное право)"
Вестник БарГУ. Серия: Педагогические науки. Психологические науки. Филологические науки (литературоведение);"педагогические;"
Вестник БарГУ. Серия: Педагогические науки. Психологические науки. Филологические науки (литературоведение);"психологические;"
Вестник БарГУ. Серия: Педагогические науки. Психологические науки. Филологические науки (литературоведение);филологические (литературоведение)
Вестник БарГУ. Серия «Технические науки»;"технические (машиностроение и машиноведение; процессы и машины агроинженерных систем)"
Вестник Белорусского государственного университета транспорта ***;"технические (подвижной состав железных дорог, тяга поездов и электрификация; управление процессами перевозок)"
Вестник Белорусской государственной сельскохозяйственной академии;"сельскохозяйственные;"
Вестник Белорусской государственной сельскохозяйственной академии;"технические (сельскохозяйственное машиностроение);"
Вестник Белорусской государственной сельскохозяйственной академии;экономические (агропромышленный комплекс)
Вестник Белорусско-Российского университета;технические (машиностроение,
Вестник Белорусско-Российского университета;"электротехника);"
Вестник Белорусско-Российского университета;приборостроение
Вестник Брестского государственного технического университета. Серия «Водохозяйственное строительство, теплоэнергетика и геоэкология»;технические
Вестник Брестского государственного технического университета. Серия «Водохозяйственное строительство, теплоэнергетика и геоэкология»;(тепло- и водоснабжение, экология)
Вестник Брестского государственного технического университета. Серия «Машиностроение»;технические (машиностроение)
Вестник Брестского государственного технического университета. Серия «Физика, математика, информатика»;технические (информатика, вычислительная техника и управление)
Вестник Брестского государственного технического университета. Серия «Строительство и архитектура»;"архитектура;"
Вестник Брестского государственного технического университета. Серия «Строительство и архитектура»;технические (строительство)
Вестник Брестского государственного технического университета. Серия «Экономика»;экономические
Вестник Витебского государственного медицинского университета;"биологические (медико-биологические аспекты);"
Вестник Витебского государственного медицинского университета;"медицинские;"
Вестник Витебского государственного медицинского университета;фармацевтические
Вестник Витебского государственного технологического университета;"технические (технология машиностроения; технология и оборудование легкой промышленности; химическая технология);"
Вестник Витебского государственного технологического университета;экономические (экономика легкой промышленности, региональная экономика)
Вестник Военной академии Республики Беларусь;"военные;"
Вестник Военной академии Республики Беларусь;"технические (информатика, вычислительная техника и управление;"
Вестник Военной академии Республики Беларусь;"вооружение и военная техника; радиотехника, связь, электроника и микроэлектроника);"
Вестник Военной академии Республики Беларусь;педагогические (воинское обучение и воспитание, военная педагогика)
Вестник Гомельского государственного технического университета имени П.О.Сухого;"технические (машиностроение и машиноведение, материаловедение, энергетика);"
Вестник Гомельского государственного технического университета имени П.О.Сухого;экономические (экономика и управление промышленностью)
Вестник Института пограничной службы Республики Беларусь;"военные(национальная  безопасность);"
Вестник Института пограничной службы Республики Беларусь;"педагогические (профессиональное образование в сфере национальной безопасности);"
Вестник Института пограничной службы Республики Беларусь;психологические (психологическое обеспечение национальной безопасности)
Вестник Минского государственного лингвистического университета. Серия 1. Филология;филологические
Вестник Минского государственного лингвистического университета. Серия 2. Педагогика, психология, методика преподавания иностранных языков;"педагогические;"
Вестник Минского государственного лингвистического университета. Серия 2. Педагогика, психология, методика преподавания иностранных языков;психологические
Вестник МГИРО;"исторические (отечественная история); педагогические; психологические"
